"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat --time -v --net --output html.20190802-143835/dstat.csv 1 300",,,,"Date:","02 Aug 2019 14:38:36 CST"
"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,"net/total",
02-08 14:40:32,1,0,1,1240748032,38555648,0,962551808,0,0,0,0,2534,1625,50.265,1.058,48.677,0,0,1240,12898
02-08 14:40:33,1,0,1,1240748032,38555648,0,962551808,0,0,8192,367104,2722,1832,52.308,0.513,43.590,3.590,0,0,0
02-08 14:40:34,1,0,0,1240719360,38555648,0,962580480,0,0,0,32768,2458,1701,50,0.526,49.474,0,0,432,234
02-08 14:40:35,1,0,1,1240719360,38555648,0,962580480,0,0,0,241664,1898,1720,47.849,0,52.151,0,0,288,180
02-08 14:40:36,2,0,1,1240686592,38588416,0,962580480,0,0,0,0,1908,1720,47.619,1.058,51.323,0,0,576,360
02-08 14:40:37,2,0,2,1240715264,38457344,0,962682880,0,0,102400,32768,1925,1833,46.703,1.099,47.253,4.945,0,2742,15679
02-08 14:40:38,2,0,1,1240715264,38457344,0,962682880,0,0,0,131072,2024,1831,47.340,1.596,47.872,3.191,0,90,58
02-08 14:40:39,1,0,0,1240715264,38457344,0,962682880,0,0,0,0,1965,1672,47.340,0.532,52.128,0,0,90,54
02-08 14:40:40,2,0,1,1240715264,38457344,0,962682880,0,0,0,32768,1934,1731,47.872,0.532,51.596,0,0,0,0
02-08 14:40:41,1,0,1,1240707072,38457344,0,962691072,0,0,0,4096,1914,1689,47.594,0.535,51.872,0,0,0,0
02-08 14:40:42,1,0,1,1240674304,38490112,0,962691072,0,0,0,0,1868,1706,47.283,0.543,52.174,0,0,1348,13978
02-08 14:40:43,1,0,1,1240674304,38490112,0,962691072,0,0,0,32768,2048,1793,47.849,1.075,51.075,0,0,720,414
02-08 14:40:44,1,0,0,1240641536,38522880,0,962691072,0,0,0,0,1749,1693,47.594,0.535,51.872,0,0,432,270
02-08 14:40:45,1,0,1,1240641536,38522880,0,962691072,0,0,0,0,1959,1761,48.148,0.529,51.323,0,0,432,270
02-08 14:40:46,2,0,1,1240641536,38522880,0,962691072,0,0,0,32768,2185,1723,49.474,0,50.526,0,0,0,0
02-08 14:40:47,1,0,1,1240608768,38555648,0,962691072,0,0,0,0,2540,1635,51.031,0.515,48.454,0,0,1464,14536
02-08 14:40:48,1,0,1,1240608768,38555648,0,962691072,0,0,0,0,2551,1651,51.295,0.518,48.187,0,0,0,0
02-08 14:40:49,1,0,0,1240608768,38555648,0,962691072,0,0,0,32768,2628,1687,51.031,0.515,48.454,0,0,0,0
02-08 14:40:50,1,0,1,1240608768,38555648,0,962691072,0,0,0,0,2557,1687,50.785,0.524,48.691,0,0,0,0
02-08 14:40:51,2,0,1,1240608768,38555648,0,962691072,0,0,0,0,2567,1632,50,0.526,49.474,0,0,0,0
02-08 14:40:52,1,0,1,1240576000,38588416,0,962691072,0,0,0,32768,2554,1688,50,0.532,49.468,0,0,1402,15002
02-08 14:40:53,1,0,1,1240576000,38588416,0,962691072,0,0,0,0,2515,1688,51.020,0.510,48.469,0,0,0,0
02-08 14:40:54,1,0,0,1240576000,38588416,0,962691072,0,0,0,0,2615,1755,50.777,0,49.223,0,0,0,0
02-08 14:40:55,1,0,1,1240576000,38588416,0,962691072,0,0,0,32768,2117,1822,48.421,1.053,50,0.526,0,0,0
02-08 14:40:56,1,0,1,1240576000,38588416,0,962691072,0,0,0,0,2277,1889,50.259,0.518,49.223,0,0,0,0
02-08 14:40:57,1,0,1,1240674304,38490112,0,962691072,0,0,0,0,1968,1738,48.087,1.093,50.820,0,0,1806,15652
02-08 14:40:58,1,0,1,1240739840,38424576,0,962691072,0,0,0,32768,2181,1869,49.738,0,50.262,0,0,378,270
02-08 14:40:59,1,0,0,1240739840,38424576,0,962691072,0,0,0,0,1932,1760,47.312,0.538,52.151,0,0,0,0
02-08 14:41:00,3,0,1,1240612864,38424576,0,962818048,0,0,0,0,2026,1827,50.543,2.717,46.739,0,0,432,234
02-08 14:41:01,1,0,1,1240526848,38424576,0,962904064,0,0,0,32768,1814,1745,48.901,1.648,49.451,0,0,0,0
02-08 14:41:02,2,0,1,1240494080,38457344,0,962904064,0,0,0,0,1779,1667,46.369,1.117,52.514,0,0,1402,16050
02-08 14:41:03,1,0,1,1240494080,38457344,0,962904064,0,0,0,5120,2256,1895,50,0.521,49.479,0,0,0,0
02-08 14:41:04,1,0,0,1240494080,38457344,0,962904064,0,0,0,32768,1932,1759,47.594,0.535,51.872,0,0,0,0
02-08 14:41:05,1,0,1,1240494080,38457344,0,962904064,0,0,0,0,2046,1717,47.895,1.053,51.053,0,0,0,0
02-08 14:41:06,1,0,1,1240494080,38457344,0,962904064,0,0,0,40960,2137,1706,49.206,0.529,50.265,0,0,0,0
02-08 14:41:07,1,0,1,1240461312,38490112,0,962904064,0,0,0,32768,2353,1551,49.457,0,50.543,0,0,1572,16527
02-08 14:41:08,1,0,1,1240461312,38490112,0,962904064,0,0,0,0,2517,1635,50.521,0.521,48.958,0,0,0,0
02-08 14:41:09,2,0,0,1240461312,38490112,0,962904064,0,0,0,0,2534,1599,50.777,0.518,48.705,0,0,0,0
02-08 14:41:10,1,0,1,1240461312,38490112,0,962904064,0,0,0,32768,2442,1671,50,0.521,48.958,0.521,0,90,58
02-08 14:41:11,2,0,1,1240453120,38490112,0,962912256,0,0,0,229376,1966,1776,47.872,0.532,51.596,0,0,0,0
02-08 14:41:12,2,0,1,1240420352,38522880,0,962912256,0,0,0,0,1788,1651,45.556,1.111,53.333,0,0,1402,16928
02-08 14:41:13,2,0,1,1240420352,38522880,0,962912256,0,0,0,32768,2076,1729,48.421,0.526,51.053,0,0,0,0
02-08 14:41:14,1,0,0,1240420352,38522880,0,962912256,0,0,0,0,1996,1742,47.619,1.058,51.323,0,0,0,0
02-08 14:41:15,1,0,1,1240420352,38522880,0,962912256,0,0,0,0,1943,1733,47.872,0.532,51.596,0,0,0,0
02-08 14:41:16,1,0,1,1240420352,38522880,0,962912256,0,0,0,32768,1896,1724,47.027,0.541,52.432,0,0,144,108
02-08 14:41:17,1,0,1,1240387584,38555648,0,962912256,0,0,0,0,1819,1672,45.763,0.565,53.672,0,0,1626,17698
02-08 14:41:18,1,0,1,1240387584,38555648,0,962912256,0,0,0,0,2207,1841,50.515,0.515,48.969,0,0,0,0
02-08 14:41:19,1,0,0,1240387584,38555648,0,962912256,0,0,0,32768,2076,1766,48.947,0.526,50.526,0,0,288,148
02-08 14:41:20,1,0,1,1240354816,38588416,0,962912256,0,0,0,0,1878,1771,47.059,1.070,51.872,0,0,864,540
02-08 14:41:21,1,0,1,1240354816,38588416,0,962912256,0,0,0,0,2200,1885,49.738,0.524,49.738,0,0,432,270
02-08 14:41:22,1,0,1,1240518656,38424576,0,962912256,0,0,0,32768,1803,1656,45.143,1.143,53.714,0,0,1636,18140
02-08 14:41:23,2,0,2,1240551424,38109184,0,963194880,0,0,286720,0,2004,1910,47.059,1.070,48.128,3.743,0,2142,3282
02-08 14:41:24,1,0,0,1240551424,38109184,0,963194880,0,0,0,0,2238,1842,50.259,0.518,49.223,0,0,0,0
02-08 14:41:25,2,0,1,1240551424,38109184,0,963194880,0,0,0,32768,2011,1766,47.644,1.047,48.168,3.141,0,288,180
02-08 14:41:26,2,0,1,1240551424,38109184,0,963194880,0,0,0,0,1976,1750,47.849,0.538,51.613,0,0,432,270
02-08 14:41:27,5,0,1,1240485888,38174720,0,963194880,0,0,0,0,1895,1759,46.703,1.099,52.198,0,0,2490,19207
02-08 14:41:28,1,0,2,1240502272,38055936,20480,963276800,0,0,110592,32768,2263,1961,49.735,1.058,46.561,2.646,0,612,1072
02-08 14:41:29,1,0,0,1240477696,38080512,20480,963276800,0,0,0,0,1974,1732,48.438,0.521,51.042,0,0,0,0
02-08 14:41:30,1,0,1,1240477696,38080512,20480,963276800,0,0,0,0,2148,1701,48.677,0.529,50.794,0,0,0,0
02-08 14:41:31,1,0,1,1240469504,38080512,20480,963284992,0,0,0,32768,2487,1632,51.020,0.510,48.469,0,0,0,0
02-08 14:41:32,1,0,1,1240436736,38113280,20480,963284992,0,0,0,0,2526,1646,49.733,0.535,49.733,0,0,1564,19343
02-08 14:41:33,2,0,1,1240428544,38113280,20480,963293184,0,0,4096,328192,2643,1819,51.546,0.515,46.907,1.031,0,0,0
02-08 14:41:34,1,0,0,1240428544,38113280,20480,963293184,0,0,0,32768,2628,1701,50.777,0.518,48.705,0,0,432,234
02-08 14:41:35,1,0,1,1240625152,37916672,20480,963293184,0,0,0,0,2591,1654,50.777,0.518,48.705,0,0,288,180
02-08 14:41:36,1,0,1,1240625152,37916672,20480,963293184,0,0,0,0,2587,1647,50.777,0.518,48.705,0,0,576,360
02-08 14:41:37,2,0,1,1240592384,37949440,20480,963293184,0,0,0,32768,2600,1645,50,0.526,48.947,0.526,0,1878,19987
02-08 14:41:38,1,0,1,1240559616,37982208,20480,963293184,0,0,0,0,2630,1664,51.295,0.518,48.187,0,0,378,202
02-08 14:41:39,2,0,0,1240559616,37982208,20480,963293184,0,0,0,0,2576,1598,50.785,0,49.215,0,0,378,234
02-08 14:41:40,1,0,1,1240551424,37982208,20480,963301376,0,0,0,32768,2249,1773,50.251,1.005,48.744,0,0,144,90
02-08 14:41:41,1,0,1,1240551424,37982208,20480,963301376,0,0,0,0,2499,1650,51.282,0.513,48.205,0,0,144,90
02-08 14:41:42,1,0,1,1240518656,38014976,20480,963301376,0,0,0,0,2468,1665,49.730,0,50.270,0,0,1618,20325
02-08 14:41:43,1,0,1,1240518656,38014976,20480,963301376,0,0,0,32768,2638,1701,50.777,0.518,48.705,0,0,0,0
02-08 14:41:44,1,0,0,1240485888,38047744,20480,963301376,0,0,0,0,2235,1797,50.505,0.505,48.990,0,0,432,234
02-08 14:41:45,1,0,1,1240485888,38047744,20480,963301376,0,0,0,0,2661,1729,51.546,0.515,47.938,0,0,576,360
02-08 14:41:46,1,0,1,1240485888,38047744,20480,963301376,0,0,0,32768,2705,1700,51.031,0.515,48.454,0,0,144,90
02-08 14:41:47,1,0,1,1240485888,38047744,20480,963301376,0,0,0,0,2551,1613,49.462,0.538,50,0,0,1734,20974
02-08 14:41:48,1,0,1,1240453120,38080512,20480,963301376,0,0,0,0,2158,1689,50.510,0.510,48.980,0,0,0,0
02-08 14:41:49,1,0,0,1240453120,38080512,20480,963301376,0,0,0,32768,2664,1714,50.515,1.031,47.938,0.515,0,0,0
02-08 14:41:50,1,0,1,1240412160,38113280,20480,963309568,0,0,0,0,2696,1708,51.813,0,48.187,0,0,288,148
02-08 14:41:51,1,0,1,1240412160,38113280,20480,963309568,0,0,0,0,2581,1644,51.042,0.521,48.438,0,0,288,180
02-08 14:41:52,1,0,1,1240576000,37949440,20480,963309568,0,0,0,32768,2095,1694,48.438,1.042,50.521,0,0,1510,21338
02-08 14:41:53,1,0,1,1240576000,37949440,20480,963309568,0,0,0,0,2559,1703,51.042,0.521,48.438,0,0,144,54
02-08 14:41:54,1,0,0,1240576000,37949440,20480,963309568,0,0,0,0,2346,1737,50.254,1.015,48.731,0,0,432,270
02-08 14:41:55,1,0,1,1240576000,37949440,20480,963309568,0,0,0,32768,2191,1830,50.505,0.505,48.990,0,0,432,270
02-08 14:41:56,1,0,1,1240576000,37949440,20480,963309568,0,0,0,0,2597,1736,51.031,0.515,48.454,0,0,144,90
02-08 14:41:57,1,1,2,1241432064,28086272,8933376,963387392,0,0,7417856,61440,2654,1742,49.733,1.070,30.481,18.717,0,2130,22228
02-08 14:41:58,1,1,1,1239867392,20639744,37244928,944148480,0,1282048,29360128,1298432,2590,1912,50.769,5.128,5.641,38.462,0,90,58
02-08 14:41:59,2,1,0,1238315008,16084992,68177920,919572480,0,1511424,29884416,1417728,2451,2050,50.254,7.107,21.827,20.812,0,0,0
02-08 14:42:00,2,1,1,1236660224,17993728,99110912,888946688,0,1130496,30932992,1339392,2257,1995,51.892,5.946,3.243,38.919,0,0,0
02-08 14:42:01,1,1,1,1236598784,15446016,128471040,863305728,0,0,29360128,0,2229,1883,50.838,6.704,16.760,25.698,0,0,0
