"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat --time -v --net --output html.20190802-124235/dstat.csv 1 300",,,,"Date:","02 Aug 2019 12:42:36 CST"
"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,"net/total",
02-08 12:43:02,0,0,1,1095876608,50667520,2211840,1086611456,0,0,0,0,1181,1367,1.031,0,98.969,0,0,720,450
02-08 12:43:03,0,0,1,1095876608,50667520,2211840,1086611456,0,0,0,32768,342,504,0,0.510,99.490,0,0,864,540
02-08 12:43:04,0,0,1,1095843840,50700288,2211840,1086611456,0,0,0,0,120,226,0.485,0,99.515,0,0,288,180
02-08 12:43:05,0,0,1,1095811072,50733056,2211840,1086611456,0,0,0,204800,270,410,0.515,0.515,98.969,0,0,1350,908
02-08 12:43:06,0,0,1,1095778304,50765824,2211840,1086611456,0,0,0,32768,361,591,0,0.503,98.995,0.503,0,1890,2940
02-08 12:43:07,0,0,1,1095942144,50601984,2211840,1086611456,0,0,0,0,373,502,1.005,0,98.995,0,0,1152,728
02-08 12:43:08,4,0,2,1095757824,50786304,2211840,1086611456,0,0,0,0,318,518,0,0.505,99.495,0,0,1980,2436
02-08 12:43:09,0,0,1,1095749632,50794496,2211840,1086611456,0,0,0,32768,346,498,1.010,0.505,98.485,0,0,720,468
02-08 12:43:10,1,0,2,1095843840,50683904,2211840,1086619648,0,0,0,32768,391,511,0.505,0,99.495,0,0,828,760
02-08 12:43:11,0,0,1,1095835648,50692096,2211840,1086619648,0,0,0,0,359,559,0.500,0.500,99,0,0,2178,2430
02-08 12:43:12,0,0,1,1095770112,50757632,2211840,1086619648,0,0,0,32768,134,237,0,0,100,0,0,0,0
02-08 12:43:13,0,0,1,1095770112,50757632,2211840,1086619648,0,0,0,0,199,318,0,0,100,0,0,288,180
02-08 12:43:14,0,0,1,1095770112,50757632,2211840,1086619648,0,0,0,20480,303,464,0.995,0.498,98.507,0,0,576,360
02-08 12:43:15,0,0,1,1095770112,50757632,2211840,1086619648,0,0,0,32768,315,484,0,0,99.495,0.505,0,630,450
02-08 12:43:16,2,0,1,1095942144,50585600,2211840,1086619648,0,0,0,0,432,517,0.500,0.500,99,0,0,1368,1144
02-08 12:43:17,0,0,1,1095933952,50593792,2211840,1086619648,0,0,0,0,311,450,1.010,0,98.990,0,0,0,0
02-08 12:43:18,0,0,1,1095901184,50626560,2211840,1086619648,0,0,0,32768,320,491,0.508,0.508,98.477,0.508,0,576,360
02-08 12:43:19,0,0,2,1095782400,50745344,2211840,1086619648,0,0,0,0,481,609,0.500,0.500,99,0,0,1242,1178
02-08 12:43:20,0,0,2,1095700480,50819072,2211840,1086627840,0,0,0,0,424,612,0.505,0,99.495,0,0,1854,1890
02-08 12:43:21,0,0,1,1095667712,50851840,2211840,1086627840,0,0,0,32768,365,544,1.020,0.510,98.469,0,0,1854,1890
02-08 12:43:22,0,0,2,1095602176,50917376,2211840,1086627840,0,0,0,0,353,548,0,0.500,99.500,0,0,1566,1718
02-08 12:43:23,0,0,1,1095602176,50917376,2211840,1086627840,0,0,0,0,266,417,0.500,0.500,99,0,0,0,0
02-08 12:43:24,0,0,1,1095602176,50917376,2211840,1086627840,0,0,0,32768,301,439,0.505,0,99.495,0,0,0,0
02-08 12:43:25,0,0,1,1095602176,50917376,2211840,1086627840,0,0,0,0,330,414,1.015,0.508,98.477,0,0,0,0
02-08 12:43:26,0,0,0,1095602176,50917376,2211840,1086627840,0,0,0,8192,327,437,1.015,0.508,98.477,0,0,0,0
02-08 12:43:27,0,0,1,1095602176,50917376,2211840,1086627840,0,0,0,32768,228,386,0.515,0,97.938,1.546,0,0,0
02-08 12:43:28,1,0,1,1095602176,50917376,2211840,1086627840,0,0,0,0,221,324,0,0.505,99.495,0,0,0,0
02-08 12:43:29,6,0,1,1095602176,50917376,2211840,1086627840,0,0,0,0,136,254,0.488,0,99.512,0,0,0,0
02-08 12:43:30,0,0,1,1095602176,50917376,2211840,1086627840,0,0,0,0,635,720,0.518,0,99.482,0,0,0,0
02-08 12:43:31,0,0,0,1095602176,50917376,2211840,1086627840,0,0,0,32768,1119,1181,0,0,100,0,0,0,0
02-08 12:43:32,0,0,1,1095602176,50917376,2211840,1086627840,0,0,0,0,1596,1608,1.026,0,98.974,0,0,0,0
02-08 12:43:33,0,0,1,1095602176,50917376,2211840,1086627840,0,0,0,0,1826,1670,0,0.513,99.487,0,0,0,0
02-08 12:43:34,1,0,1,1095602176,50917376,2211840,1086627840,0,0,0,32768,1290,1292,0.500,0,99.500,0,0,0,0
02-08 12:43:35,0,0,1,1095602176,50917376,2211840,1086627840,0,0,0,0,145,267,1.005,0.503,98.492,0,0,0,0
02-08 12:43:36,1,0,0,1095602176,50917376,2211840,1086627840,0,0,0,0,231,355,1.047,0.524,98.429,0,0,90,90
02-08 12:43:37,2,0,1,1095602176,50917376,2211840,1086627840,0,0,0,32768,232,370,0,0,99.497,0.503,0,90,54
02-08 12:43:38,0,0,1,1095602176,50917376,2211840,1086627840,0,0,0,0,189,302,0.503,0.503,98.995,0,0,0,0
02-08 12:43:39,0,0,1,1095598080,50917376,2211840,1086631936,0,0,0,270336,300,456,1,0.500,97.500,1,0,0,0
02-08 12:43:40,0,0,1,1095598080,50917376,2211840,1086631936,0,0,0,32768,223,337,0.515,0.515,98.969,0,0,0,0
02-08 12:43:41,2,0,0,1095589888,50917376,2211840,1086640128,0,0,0,24576,208,348,1,0,99,0,0,0,0
02-08 12:43:42,0,0,1,1095589888,50917376,2211840,1086640128,0,0,0,0,284,402,0.510,0.510,98.980,0,0,0,0
02-08 12:43:43,0,0,1,1095589888,50917376,2211840,1086640128,0,0,0,32768,242,383,0,0,99.497,0.503,0,0,0
02-08 12:43:44,9,0,1,1095589888,50917376,2211840,1086640128,0,0,0,29184,301,421,1.282,0,98.718,0,0,0,0
02-08 12:43:45,0,0,1,1095589888,50917376,2211840,1086640128,0,0,0,0,138,251,0.521,0,99.479,0,0,0,0
02-08 12:43:46,0,0,0,1095589888,50917376,2211840,1086640128,0,0,0,32768,141,264,0.578,0.578,98.844,0,0,0,0
02-08 12:43:47,0,0,1,1095589888,50917376,2211840,1086640128,0,0,0,0,310,438,0,0,100,0,0,0,0
02-08 12:43:48,0,0,1,1095589888,50917376,2211840,1086640128,0,0,0,0,344,461,1.015,0,98.985,0,0,0,0
02-08 12:43:49,0,0,1,1095589888,50917376,2211840,1086640128,0,0,0,32768,294,433,0.505,0.505,98.990,0,0,0,0
02-08 12:43:50,0,0,1,1095589888,50917376,2211840,1086640128,0,0,0,0,306,452,0.508,0,99.492,0,0,0,0
02-08 12:43:51,0,0,0,1095581696,50917376,2211840,1086648320,0,0,0,0,288,478,0,0,100,0,0,0,0
02-08 12:43:52,0,0,1,1095581696,50917376,2211840,1086648320,0,0,0,32768,333,456,0.503,0,99.497,0,0,0,0
02-08 12:43:53,0,0,1,1095581696,50917376,2211840,1086648320,0,0,0,0,335,446,0.498,0.498,99.005,0,0,0,0
02-08 12:43:54,0,0,1,1095581696,50917376,2211840,1086648320,0,0,0,0,371,506,0.521,0,99.479,0,0,0,0
02-08 12:43:55,0,0,1,1095581696,50917376,2211840,1086648320,0,0,0,32768,213,343,0.490,0.490,98.529,0.490,0,0,0
02-08 12:43:56,0,0,0,1095581696,50917376,2211840,1086648320,0,0,0,0,252,374,0.508,0,99.492,0,0,90,54
02-08 12:43:57,0,0,1,1095581696,50917376,2211840,1086648320,0,0,0,0,358,478,0.510,0,99.490,0,0,0,0
02-08 12:43:58,0,0,1,1095581696,50917376,2211840,1086648320,0,0,0,32768,362,508,0.467,0.467,99.065,0,0,0,0
02-08 12:43:59,0,0,1,1095581696,50917376,2211840,1086648320,0,0,0,0,262,396,0.541,0,99.459,0,0,0,0
02-08 12:44:00,1,0,1,1095393280,50917376,2211840,1086836736,0,0,0,0,495,608,4.124,1.031,94.845,0,0,0,0
02-08 12:44:01,0,0,0,1095393280,50917376,2211840,1086836736,0,0,0,32768,286,402,1,0.500,98.500,0,0,0,0
02-08 12:44:02,0,0,1,1095393280,50917376,2211840,1086836736,0,0,0,0,260,417,0,0,100,0,0,0,0
02-08 12:44:03,0,0,1,1095393280,50917376,2211840,1086836736,0,0,0,0,303,439,1.531,0.510,97.959,0,0,0,0
02-08 12:44:04,1,0,1,1095393280,50917376,2211840,1086836736,0,0,0,32768,424,522,0.508,0.508,98.477,0.508,0,0,0
02-08 12:44:05,0,0,1,1095393280,50917376,2211840,1086836736,0,0,0,0,324,447,0.508,0,99.492,0,0,0,0
02-08 12:44:06,0,0,0,1095393280,50917376,2211840,1086836736,0,0,0,0,686,800,0.513,0.513,98.974,0,0,0,0
02-08 12:44:07,0,0,1,1095393280,50917376,2211840,1086836736,0,0,0,32768,1753,1715,0.513,0,99.487,0,0,0,0
02-08 12:44:08,0,0,1,1095589888,50720768,2211840,1086836736,0,0,0,0,1468,1623,0.518,0.518,98.964,0,0,90,54
02-08 12:44:09,0,0,1,1095589888,50720768,2211840,1086836736,0,0,0,0,1483,1694,0.518,0.518,98.964,0,0,0,0
02-08 12:44:10,0,0,1,1095589888,50720768,2211840,1086836736,0,0,0,32768,1626,1922,0,0.526,99.474,0,0,2190,3566
02-08 12:44:11,1,0,0,1095651328,50659328,2211840,1086836736,0,0,0,0,1762,1652,17.766,0.508,81.726,0,0,522,720
02-08 12:44:12,1,0,1,1095651328,50659328,2211840,1086836736,0,0,0,36864,2159,1448,49.741,0,50.259,0,0,0,0
02-08 12:44:13,1,0,1,1095651328,50659328,2211840,1086836736,0,0,0,32768,2103,1416,49.223,0.518,49.741,0.518,0,0,0
02-08 12:44:14,2,0,1,1095651328,50659328,2211840,1086836736,0,0,0,19968,2124,1370,45.977,0.575,53.448,0,0,0,0
02-08 12:44:15,1,0,1,1095651328,50659328,2211840,1086836736,0,0,0,0,2060,1438,49.738,0,50.262,0,0,0,0
02-08 12:44:16,1,0,0,1095651328,50659328,2211840,1086836736,0,0,0,32768,2290,1402,50.256,0.513,49.231,0,0,0,0
02-08 12:44:17,1,0,1,1095651328,50659328,2211840,1086836736,0,0,0,0,2439,1403,50,0.515,49.485,0,0,0,0
02-08 12:44:18,1,0,1,1095651328,50659328,2211840,1086836736,0,0,0,0,2171,1457,51.010,0,48.990,0,0,0,0
02-08 12:44:19,1,0,1,1095651328,50659328,2211840,1086836736,0,0,0,32768,2415,1448,50.259,0.518,49.223,0,0,0,0
02-08 12:44:20,1,0,1,1095643136,50659328,2211840,1086844928,0,0,0,0,2369,1473,50.510,0.510,48.980,0,0,0,0
02-08 12:44:21,1,0,0,1095643136,50659328,2211840,1086844928,0,0,0,0,2242,1502,50.510,0,49.490,0,0,0,0
02-08 12:44:22,2,0,1,1095643136,50659328,2211840,1086844928,0,0,0,237568,2419,1423,50.256,0.513,48.718,0.513,0,0,0
02-08 12:44:23,1,0,1,1095643136,50659328,2211840,1086844928,0,0,0,0,2581,1448,51.020,0,48.980,0,0,0,0
02-08 12:44:24,1,0,1,1095643136,50659328,2211840,1086844928,0,0,0,0,2283,1508,50.254,0.508,49.239,0,0,0,0
02-08 12:44:25,1,0,1,1095643136,50659328,2211840,1086844928,0,0,0,32768,2432,1449,50.769,0,49.231,0,0,0,0
02-08 12:44:26,1,0,0,1095643136,50659328,2211840,1086844928,0,0,0,0,2441,1429,50.256,0.513,49.231,0,0,0,0
02-08 12:44:27,1,0,1,1095643136,50659328,2211840,1086844928,0,0,0,0,2363,1430,51.042,0,48.958,0,0,0,0
02-08 12:44:28,1,0,1,1095643136,50659328,2211840,1086844928,0,0,0,32768,2419,1419,49.206,0,50.265,0.529,0,0,0
02-08 12:44:29,1,0,1,1095643136,50659328,2211840,1086844928,0,0,0,0,2138,1460,50.510,0.510,48.980,0,0,0,0
02-08 12:44:30,1,0,1,1095643136,50659328,2211840,1086844928,0,0,0,0,2147,1548,51.010,0.505,48.485,0,0,0,0
02-08 12:44:31,1,0,0,1095634944,50659328,2211840,1086853120,0,0,0,32768,1720,1460,47.594,0,52.406,0,0,0,0
02-08 12:44:32,2,0,1,1095634944,50659328,2211840,1086853120,0,0,0,0,1742,1502,47.090,0.529,52.381,0,0,0,0
02-08 12:44:33,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,0,2042,1569,48.947,0.526,50.526,0,0,0,0
02-08 12:44:34,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,32768,1900,1539,49.231,0.513,50.256,0,0,0,0
02-08 12:44:35,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,0,2464,1484,50.515,0,49.485,0,0,0,0
02-08 12:44:36,1,0,0,1095634944,50659328,2211840,1086853120,0,0,0,0,2172,1449,50,0.510,49.490,0,0,90,90
02-08 12:44:37,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,32768,2418,1444,50.259,0.518,49.223,0,0,90,54
02-08 12:44:38,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,0,2432,1429,51.031,0,48.969,0,0,0,0
02-08 12:44:39,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,270336,2413,1613,50.256,0.513,48.718,0.513,0,0,0
02-08 12:44:40,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,32768,2366,1443,50.256,0.513,48.718,0.513,0,0,0
02-08 12:44:41,1,0,0,1095634944,50659328,2211840,1086853120,0,0,0,0,2292,1362,50.510,0.510,48.980,0,0,0,0
02-08 12:44:42,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,0,2198,1462,50.769,0,49.231,0,0,0,0
02-08 12:44:43,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,32768,2342,1449,50.262,0.524,49.215,0,0,0,0
02-08 12:44:44,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,0,2433,1468,50.777,0,49.223,0,0,0,0
02-08 12:44:45,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,19456,2306,1522,50.505,0.505,48.990,0,0,0,0
02-08 12:44:46,1,0,0,1095634944,50659328,2211840,1086853120,0,0,0,32768,2179,1447,49.479,0.521,50,0,0,0,0
02-08 12:44:47,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,0,1733,1472,46.809,0.532,52.660,0,0,0,0
02-08 12:44:48,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,0,1873,1529,48.649,0.541,50.811,0,0,0,0
02-08 12:44:49,1,0,1,1095634944,50659328,2211840,1086853120,0,0,0,32768,1637,1477,46.809,0.532,52.660,0,0,0,0
02-08 12:44:50,1,0,1,1095626752,50659328,2211840,1086861312,0,0,0,0,1691,1475,47.027,0.541,52.432,0,0,0,0
02-08 12:44:51,1,0,0,1095626752,50659328,2211840,1086861312,0,0,0,0,1954,1514,49.479,0.521,50,0,0,0,0
02-08 12:44:52,2,0,1,1095626752,50659328,2211840,1086861312,0,0,0,32768,1782,1481,47.340,0,52.128,0.532,0,0,0
02-08 12:44:53,1,0,1,1095499776,50786304,2211840,1086861312,0,0,0,0,1618,1470,46.809,0.532,52.660,0,0,0,0
02-08 12:44:54,1,0,1,1095499776,50786304,2211840,1086861312,0,0,0,0,1967,1560,49.485,0.515,50,0,0,0,0
02-08 12:44:55,1,0,1,1095499776,50786304,2211840,1086861312,0,0,0,32768,2324,1416,50.777,0,49.223,0,0,0,0
02-08 12:44:56,1,0,0,1095499776,50786304,2211840,1086861312,0,0,0,0,2250,1375,50.510,0.510,48.980,0,0,90,54
02-08 12:44:57,1,0,1,1095626752,50659328,2211840,1086861312,0,0,0,0,2186,1440,51.282,0.513,48.205,0,0,0,0
02-08 12:44:58,1,0,1,1095626752,50659328,2211840,1086861312,0,0,0,32768,2213,1489,49.738,0,50.262,0,0,0,0
02-08 12:44:59,1,0,1,1095626752,50659328,2211840,1086861312,0,0,0,0,1724,1473,46.809,0.532,52.660,0,0,0,0
02-08 12:45:00,1,0,1,1095626752,50532352,2211840,1086988288,0,0,0,0,1850,1575,50.538,2.151,47.312,0,0,0,0
02-08 12:45:01,1,0,0,1095565312,50532352,2211840,1087049728,0,0,0,32768,1519,1435,46.448,0.546,53.005,0,0,0,0
02-08 12:45:02,9,0,1,1095565312,50532352,2211840,1087049728,0,0,0,0,1622,1449,47.568,0.541,51.892,0,0,0,0
02-08 12:45:03,1,0,3,1096196096,49897472,2211840,1087053824,0,0,0,229376,1841,1548,48.108,1.081,50.811,0,0,0,0
02-08 12:45:04,1,0,1,1096192000,49897472,2211840,1087057920,0,0,0,0,1625,1475,46.448,0,53.552,0,0,0,0
02-08 12:45:05,1,0,1,1096192000,49897472,2211840,1087057920,0,0,0,32768,2111,1590,50.262,0,49.215,0.524,0,0,0
02-08 12:45:06,1,0,0,1096192000,49897472,2211840,1087057920,0,0,0,0,2008,1597,48.438,0.521,51.042,0,0,0,0
02-08 12:45:07,1,0,1,1096192000,49897472,2211840,1087057920,0,0,0,0,1735,1502,46.774,0.538,52.688,0,0,0,0
02-08 12:45:08,1,0,1,1096192000,49897472,2211840,1087057920,0,0,0,32768,1826,1519,47.368,0.526,51.579,0.526,0,90,54
02-08 12:45:09,1,0,1,1096192000,49897472,2211840,1087057920,0,0,0,0,1964,1580,48.691,0,51.309,0,0,0,0
02-08 12:45:10,1,0,1,1096183808,49897472,2211840,1087066112,0,0,0,0,1780,1479,47.340,0.532,52.128,0,0,0,0
02-08 12:45:11,1,0,0,1096183808,49897472,2211840,1087066112,0,0,0,32768,1826,1465,47.619,0,52.381,0,0,0,0
02-08 12:45:12,1,0,1,1096183808,49897472,2211840,1087066112,0,0,0,0,1810,1497,47.872,0,52.128,0,0,0,0
02-08 12:45:13,1,0,1,1096183808,49897472,2211840,1087066112,0,0,0,0,1749,1450,47.090,0.529,52.381,0,0,42,54
02-08 12:45:14,1,0,1,1096183808,49897472,2211840,1087066112,0,0,0,32768,1801,1474,48.168,0.524,51.309,0,0,0,0
02-08 12:45:15,1,0,1,1096183808,49897472,2211840,1087066112,0,0,0,11264,1938,1539,48.168,0.524,51.309,0,0,0,0
02-08 12:45:16,1,0,0,1096183808,49897472,2211840,1087066112,0,0,0,0,1753,1460,47.895,0,52.105,0,0,0,0
02-08 12:45:17,1,0,1,1096183808,49897472,2211840,1087066112,0,0,0,32768,1788,1445,47.644,0.524,51.832,0,0,0,0
02-08 12:45:18,5,0,1,1096183808,49897472,2211840,1087066112,0,0,0,0,1803,1428,48.691,0,51.309,0,0,0,0
02-08 12:45:19,1,0,1,1096183808,49897472,2211840,1087066112,0,0,0,0,1859,1422,50,0.500,49.500,0,0,0,0
02-08 12:45:20,1,0,1,1096175616,49897472,2211840,1087074304,0,0,0,32768,2387,1412,50.510,0.510,48.469,0.510,0,0,0
02-08 12:45:21,1,0,0,1096175616,49897472,2211840,1087074304,0,0,0,0,1837,1459,50.251,0,49.749,0,0,0,0
02-08 12:45:22,1,0,1,1096175616,49897472,2211840,1087074304,0,0,0,0,2414,1457,50.515,0.515,48.969,0,0,0,0
02-08 12:45:23,1,0,1,1096175616,49897472,2211840,1087074304,0,0,0,32768,2427,1432,50.515,0,49.485,0,0,0,0
02-08 12:45:24,1,0,1,1096175616,49897472,2211840,1087074304,0,0,0,0,2246,1527,50.505,0.505,48.990,0,0,0,0
02-08 12:45:25,1,0,1,1096175616,49897472,2211840,1087074304,0,0,0,0,2319,1440,50.769,0,49.231,0,0,0,0
02-08 12:45:26,1,0,0,1096175616,49897472,2211840,1087074304,0,0,0,32768,2259,1466,50,0,50,0,0,0,0
02-08 12:45:27,1,0,1,1096175616,49897472,2211840,1087074304,0,0,0,0,1907,1522,47.895,0.526,51.579,0,0,0,0
02-08 12:45:28,1,0,1,1096175616,49897472,2211840,1087074304,0,0,0,0,1825,1482,47.340,0.532,52.128,0,0,0,0
02-08 12:45:29,1,0,1,1096175616,49897472,2211840,1087074304,0,0,0,32768,1802,1479,47.895,0,52.105,0,0,0,0
02-08 12:45:30,1,0,1,1096175616,49897472,2211840,1087074304,0,0,0,0,1673,1496,47.568,0.541,51.892,0,0,0,0
02-08 12:45:31,1,0,0,1096175616,49897472,2211840,1087074304,0,0,0,0,1719,1443,47.368,0.526,52.105,0,0,0,0
02-08 12:45:32,1,0,1,1096175616,49897472,2211840,1087074304,0,0,0,32768,1766,1493,48.108,0,51.351,0.541,0,0,0
02-08 12:45:33,1,0,1,1096175616,49897472,2211840,1087074304,0,0,0,0,1843,1512,48.168,0.524,51.309,0,0,0,0
02-08 12:45:34,1,0,1,1096048640,50024448,2211840,1087074304,0,0,0,24576,2292,1666,50,0.515,49.485,0,0,0,0
02-08 12:45:35,1,0,1,1096048640,50024448,2211840,1087074304,0,0,0,32768,1746,1514,47.895,0.526,51.579,0,0,0,0
02-08 12:45:36,1,0,0,1096048640,50024448,2211840,1087074304,0,0,0,0,1901,1558,48.677,0,51.323,0,0,90,42
02-08 12:45:37,1,0,1,1096015872,50057216,2211840,1087074304,0,0,0,0,1790,1521,47.120,1.047,51.832,0,0,90,54
02-08 12:45:38,1,0,1,1096015872,50057216,2211840,1087074304,0,0,0,32768,1806,1503,47.872,0,52.128,0,0,0,0
02-08 12:45:39,1,0,1,1096015872,50057216,2211840,1087074304,0,0,0,8192,2005,1596,49.223,0.518,50.259,0,0,0,0
02-08 12:45:40,1,0,1,1095958528,50057216,2211840,1087131648,0,0,24576,315392,2324,1843,51.295,0.518,44.560,3.627,0,0,0
02-08 12:45:41,1,0,0,1095958528,50057216,2211840,1087131648,0,0,0,32768,1655,1433,47.312,0,52.688,0,0,0,0
02-08 12:45:42,1,0,1,1095958528,50057216,2211840,1087131648,0,0,0,0,1664,1438,45.604,0.549,53.846,0,0,0,0
02-08 12:45:43,1,0,1,1095958528,50057216,2211840,1087131648,0,0,0,0,1735,1449,47.872,0,52.128,0,0,0,0
02-08 12:45:44,1,0,1,1095958528,50057216,2211840,1087131648,0,0,0,32768,1679,1425,45.989,0.535,52.941,0.535,0,0,0
02-08 12:45:45,1,0,1,1095925760,50057216,2211840,1087164416,0,0,0,201728,1849,1584,48.128,0.535,41.711,9.626,0,0,0
02-08 12:45:46,1,0,0,1095921664,50057216,2211840,1087168512,0,0,4096,8192,1771,1461,47.619,0,52.381,0,0,0,0
02-08 12:45:47,0,0,1,1095921664,50057216,2211840,1087168512,0,0,0,32768,1530,1294,35.417,0.521,64.062,0,0,252,368
02-08 12:45:48,0,0,1,1095917568,50057216,2211840,1087172608,0,0,4096,8192,268,393,1.005,0,98.492,0.503,0,0,0
02-08 12:45:49,0,0,1,1095917568,50057216,2211840,1087172608,0,0,0,0,337,474,0.505,0.505,98.990,0,0,0,0
02-08 12:45:50,0,0,1,1095917568,50057216,2211840,1087172608,0,0,0,32768,601,779,1.020,0,98.469,0.510,0,0,0
02-08 12:45:51,0,0,0,1095909376,50057216,2211840,1087180800,0,0,0,0,1322,1582,1.053,0,98.947,0,0,0,0
02-08 12:45:52,0,0,1,1095909376,50057216,2211840,1087180800,0,0,0,0,1342,1611,0.526,0.526,98.947,0,0,0,0
02-08 12:45:53,0,0,1,1095909376,50057216,2211840,1087180800,0,0,0,32768,1782,1670,0,0,100,0,0,0,0
02-08 12:45:54,0,0,1,1095909376,50057216,2211840,1087180800,0,0,0,0,1891,1787,0.513,0,99.487,0,0,0,0
02-08 12:45:55,0,0,1,1095909376,50057216,2211840,1087180800,0,0,0,0,1581,1704,0.518,0,99.482,0,0,0,0
02-08 12:45:56,0,0,0,1095909376,50057216,2211840,1087180800,0,0,0,32768,1526,1695,0.515,0,99.485,0,0,90,90
02-08 12:45:57,0,0,1,1095909376,50057216,2211840,1087180800,0,0,0,0,1744,1744,0.515,0.515,98.969,0,0,0,0
