"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","orl7",,,,"User:","root"
"Cmdline:","dstat --time -v --net --output html.20190805-144620/dstat.csv 1 900",,,,"Date:","05 Aug 2019 14:46:20 CST"
"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,"net/total",
05-08 14:47:01,2,0,1,138788864,1176813568,3215360,437596160,0,0,0,0,1048,291,37.853,2.260,59.887,0,0,941,5377
05-08 14:47:01,0,0,1,138788864,1176813568,3215360,437596160,0,0,0,0,872,198,34.078,0,65.922,0,0,0,0
05-08 14:47:02,1,0,0,138756096,1176846336,3215360,437596160,0,0,0,0,924,242,31.937,0,68.063,0,0,941,5641
05-08 14:47:03,1,0,1,138919936,1176682496,3215360,437596160,0,0,0,0,881,243,30.102,0.510,69.388,0,0,1049,5746
05-08 14:47:04,1,0,1,138919936,1176682496,3215360,437596160,0,0,0,0,846,216,30.052,0,69.948,0,0,0,0
05-08 14:47:05,1,0,1,138919936,1176682496,3215360,437596160,0,0,0,0,944,248,32.812,0.521,66.667,0,0,995,5902
05-08 14:47:06,2,0,1,138883072,1176715264,3215360,437596160,0,0,0,0,969,242,33.854,0,66.146,0,0,941,6011
05-08 14:47:07,0,0,0,138883072,1176715264,3215360,437596160,0,0,0,0,824,173,34.706,0.588,64.706,0,0,0,0
05-08 14:47:08,2,0,1,138883072,1176715264,3215360,437596160,0,0,0,0,888,238,30.890,0,69.110,0,0,941,6166
05-08 14:47:09,0,0,1,138883072,1176715264,3215360,437596160,0,0,0,0,902,212,32.961,0.559,66.480,0,0,995,6325
05-08 14:47:10,2,0,1,138842112,1176748032,3215360,437604352,0,0,0,122880,943,237,36.047,0.581,63.372,0,0,0,0
05-08 14:47:11,2,0,1,138842112,1176748032,3215360,437604352,0,0,0,0,911,211,31.282,0.513,68.205,0,0,1103,6597
05-08 14:47:12,2,0,0,138809344,1176780800,3215360,437604352,0,0,0,0,837,232,29.534,0,70.466,0,0,1049,6653
05-08 14:47:14,0,0,1,138809344,1176846336,3215360,437604352,0,0,0,0,921,221,33.333,0.505,66.162,0,0,0,0
05-08 14:47:14,1,0,1,138776576,1176879104,3215360,437604352,0,0,0,0,893,236,32.620,0,67.380,0,0,1103,6917
05-08 14:47:15,0,0,1,138776576,1176879104,3215360,437604352,0,0,0,0,805,235,28.718,0.513,70.769,0,0,995,6915
05-08 14:47:16,2,0,1,138776576,1176879104,3215360,437604352,0,0,0,0,953,239,34.197,0,65.803,0,0,0,0
05-08 14:47:17,1,0,0,138743808,1176911872,3215360,437604352,0,0,0,0,904,238,30.729,0.521,68.750,0,0,1049,7178
05-08 14:47:18,1,0,1,138940416,1176715264,3215360,437604352,0,0,0,1024,935,237,32.984,0,67.016,0,0,995,7234
05-08 14:47:19,1,0,1,138940416,1176715264,3215360,437604352,0,0,0,0,945,212,32.979,0,67.021,0,0,0,0
05-08 14:47:21,1,0,1,138932224,1176715264,3215360,437612544,0,0,0,0,1088,254,34.225,0.535,65.241,0,0,995,7442
05-08 14:47:21,0,0,1,138932224,1176715264,3215360,437612544,0,0,0,0,876,239,31.217,0.529,68.254,0,0,995,7552
05-08 14:47:22,0,0,0,138899456,1176748032,3215360,437612544,0,0,0,0,788,197,31.088,0,68.912,0,0,0,0
05-08 14:47:23,1,0,1,138899456,1176748032,3215360,437612544,0,0,0,0,910,223,31.414,0.524,68.063,0,0,1049,7923
05-08 14:47:24,2,0,1,138899456,1176748032,3215360,437612544,0,0,0,0,905,225,33.158,0.526,66.316,0,0,1103,7979
05-08 14:47:25,2,0,1,138993664,1176653824,3215360,437612544,0,0,0,0,916,210,32.432,0,67.568,0,0,0,0
05-08 14:47:27,0,0,1,138960896,1176686592,3215360,437612544,0,0,0,0,961,264,32.632,0.526,66.842,0,0,1157,8243
05-08 14:47:27,2,0,0,138960896,1176686592,3215360,437612544,0,0,0,0,913,220,32.609,0.543,66.848,0,0,1193,8353
05-08 14:47:28,0,0,1,138960896,1176686592,3215360,437612544,0,0,0,0,897,198,32.461,0,67.539,0,0,0,0
05-08 14:47:29,0,0,1,138928128,1176719360,3215360,437612544,0,0,0,0,885,246,31.414,0,68.586,0,0,1103,8509
05-08 14:47:30,0,0,1,138919936,1176719360,3215360,437620736,0,0,0,0,1003,227,31.443,0.515,68.041,0,0,1049,8561
05-08 14:47:31,0,0,1,138887168,1176752128,3215360,437620736,0,0,0,0,810,202,30.256,0.513,69.231,0,0,0,0
05-08 14:47:32,0,0,0,138887168,1176752128,3215360,437620736,0,0,0,0,850,229,30.052,0.518,69.430,0,0,1211,8992
05-08 14:47:33,2,0,1,139051008,1176588288,3215360,437620736,0,0,0,0,825,224,29.231,0,70.769,0,0,1157,8994
05-08 14:47:34,0,0,1,139051008,1176588288,3215360,437620736,0,0,0,0,888,199,31.980,0.508,67.513,0,0,0,0
05-08 14:47:35,1,0,1,139018240,1176621056,3215360,437620736,0,0,0,0,881,230,30.570,0.518,68.912,0,0,995,9096
05-08 14:47:36,2,0,1,139018240,1176621056,3215360,437620736,0,0,0,0,944,224,33.333,0,66.667,0,0,1103,9259
05-08 14:47:37,1,0,0,139018240,1176621056,3215360,437620736,0,0,0,0,810,184,31.088,0.518,68.394,0,0,0,0
05-08 14:47:38,0,0,1,138985472,1176653824,3215360,437620736,0,0,0,0,822,212,30.256,0,69.744,0,0,1157,9523
05-08 14:47:39,3,0,1,138985472,1176653824,3215360,437620736,0,0,0,0,890,224,30.769,0,69.231,0,0,1211,9683
05-08 14:47:40,2,0,1,138952704,1176686592,3215360,437620736,0,0,0,0,889,199,32.984,0.524,66.492,0,0,0,0
05-08 14:47:41,2,0,1,138919936,1176719360,3215360,437620736,0,0,0,0,862,227,29.534,0,70.466,0,0,1193,9839
05-08 14:47:42,1,0,0,138919936,1176719360,3215360,437620736,0,0,0,0,876,229,30.256,0.513,69.231,0,0,1157,9999
05-08 14:47:43,0,0,1,138919936,1176719360,3215360,437620736,0,0,0,0,928,208,32.632,0,67.368,0,0,0,0
05-08 14:47:44,0,0,1,138887168,1176752128,3215360,437620736,0,0,0,0,954,230,31.088,0,68.912,0,0,1103,10101
05-08 14:47:45,0,0,1,138854400,1176784896,3215360,437620736,0,0,0,0,915,245,29.744,0.513,69.744,0,0,1103,10208
05-08 14:47:46,1,0,1,138854400,1176784896,3215360,437620736,0,0,0,0,931,226,33.854,0,66.146,0,0,0,0
05-08 14:47:47,1,0,0,139051008,1176588288,3215360,437620736,0,0,0,0,980,217,34.737,0.526,64.737,0,0,1247,10527
05-08 14:47:48,2,0,1,139018240,1176621056,3215360,437620736,0,0,0,1024,895,245,30.052,0,69.948,0,0,1211,10638
05-08 14:47:49,0,0,1,139145216,1176494080,3215360,437620736,0,0,0,0,898,180,32.967,0.549,66.484,0,0,0,0
05-08 14:47:50,2,0,1,139231232,1176399872,3215360,437628928,0,0,0,24576,835,207,30,0,70,0,0,1373,11069
05-08 14:47:51,1,0,1,139198464,1176432640,3215360,437628928,0,0,0,0,934,209,32.995,0.508,66.497,0,0,1211,10956
05-08 14:47:52,2,0,0,138846208,1176784896,3215360,437628928,0,0,0,0,587,177,19.072,0,80.928,0,0,396,402
05-08 14:47:53,0,0,1,138792960,1176838144,3215360,437628928,0,0,0,0,124,116,0,0.505,99.495,0,0,1625,11747
05-08 14:47:54,0,0,1,138727424,1176903680,3215360,437628928,0,0,0,0,71,93,0,0,100,0,0,1703,11907
05-08 14:47:56,0,0,1,138727424,1176903680,3215360,437628928,0,0,0,0,48,67,0.966,0,99.034,0,0,288,144
05-08 14:47:57,0,0,1,138858496,1176772608,3215360,437628928,0,0,0,0,133,170,0,0.422,99.578,0,0,2741,12465
05-08 14:47:58,0,0,0,138858496,1176772608,3215360,437628928,0,0,0,0,98,98,0,0,100,0,0,1643,11887
05-08 14:47:58,0,0,1,138792960,1176838144,3215360,437628928,0,0,0,0,68,84,0,0,100,0,0,288,144
05-08 14:47:59,1,0,3,407744512,907886592,3215360,437628928,0,0,0,0,481,177,9.596,6.061,84.343,0,0,1463,12162
05-08 14:48:00,0,0,1,407642112,907886592,3215360,437727232,0,0,0,0,1064,1231,2.083,1.562,96.354,0,0,1211,11773
05-08 14:48:01,0,0,0,407609344,907919360,3215360,437727232,0,0,0,0,926,1178,0.521,0,99.479,0,0,0,0
05-08 14:48:02,0,0,1,407609344,907919360,3215360,437727232,0,0,0,0,1161,1326,0.515,0,99.485,0,0,1265,12145
05-08 14:48:03,0,0,1,407543808,907984896,3215360,437727232,0,0,0,0,1015,1199,0.515,0,99.485,0,0,1427,12360
05-08 14:48:04,0,0,1,407543808,907984896,3215360,437727232,0,0,0,0,973,1183,0,0.513,99.487,0,0,0,0
05-08 14:48:05,0,0,1,407740416,907788288,3215360,437727232,0,0,0,0,1042,1237,0.518,0,99.482,0,0,1319,12458
05-08 14:48:06,0,0,0,407670784,907853824,3215360,437727232,0,0,0,0,1080,1225,0,0,100,0,0,1319,12565
05-08 14:48:07,0,0,1,407670784,907853824,3215360,437727232,0,0,0,0,1428,1438,1.546,1.546,96.907,0,0,15537,262689
05-08 14:48:08,0,0,1,407703552,907821056,3215360,437727232,0,0,0,0,831,891,0,0,100,0,0,0,0
05-08 14:48:09,0,0,1,407703552,907821056,3215360,437727232,0,0,0,0,1194,1262,0,0,100,0,0,0,0
05-08 14:48:10,0,0,1,407756800,907759616,3215360,437735424,0,0,0,0,1198,1338,1.026,0,98.974,0,0,2530,25816
05-08 14:48:11,0,0,0,407756800,907759616,3215360,437735424,0,0,0,0,1174,1308,0,0.510,99.490,0,0,0,0
05-08 14:48:12,0,0,1,407756800,907759616,3215360,437735424,0,0,0,0,1273,1362,0.510,0,99.490,0,0,0,0
05-08 14:48:13,0,0,1,407691264,907825152,3215360,437735424,0,0,0,0,1200,1367,0,0,100,0,0,2638,26538
05-08 14:48:14,0,0,1,407691264,907825152,3215360,437735424,0,0,0,0,1201,1331,0,0,100,0,0,0,0
05-08 14:48:15,0,0,1,407691264,907825152,3215360,437735424,0,0,0,0,1243,1339,0,0.510,99.490,0,0,0,0
05-08 14:48:16,0,0,0,407855104,907661312,3215360,437735424,0,0,0,0,1301,1413,0.513,0,99.487,0,0,2638,27016
05-08 14:48:17,0,0,1,407887872,907628544,3215360,437735424,0,0,0,0,1206,1333,0,0,100,0,0,0,0
05-08 14:48:18,0,0,1,407887872,907628544,3215360,437735424,0,0,0,1024,1277,1368,0.510,0,99.490,0,0,0,0
05-08 14:48:19,0,0,1,407822336,907694080,3215360,437735424,0,0,0,0,1257,1388,0.513,0,99.487,0,0,2746,27730
05-08 14:48:20,0,0,1,407814144,907694080,3215360,437743616,0,0,0,0,1226,1346,0,0,100,0,0,0,0
05-08 14:48:21,0,0,0,407814144,907694080,3215360,437743616,0,0,0,0,1287,1364,0.508,0.508,98.985,0,0,0,0
05-08 14:48:22,0,0,1,407748608,907759616,3215360,437743616,0,0,0,0,1286,1388,0,0,100,0,0,2800,28392
05-08 14:48:23,0,0,1,407748608,907759616,3215360,437743616,0,0,0,0,1182,1339,0,0,100,0,0,0,0
05-08 14:48:24,0,0,1,407748608,907759616,3215360,437743616,0,0,0,0,1220,1317,0,0,100,0,0,0,0
05-08 14:48:25,0,0,1,407683072,907825152,3215360,437743616,0,0,0,0,1200,1362,0.518,0,99.482,0,0,2584,28802
05-08 14:48:26,0,0,0,407683072,907825152,3215360,437743616,0,0,0,0,1057,1284,0,0.515,99.485,0,0,0,0
05-08 14:48:27,0,0,1,407683072,907825152,3215360,437743616,0,0,0,0,1071,1322,1.020,0,98.980,0,0,90,54
05-08 14:48:28,0,0,1,407973888,907534336,3215360,437743616,0,0,0,0,1200,1317,0,0,100,0,0,2530,29312
05-08 14:48:29,0,0,1,407973888,907534336,3215360,437743616,0,0,0,0,1058,1262,0.515,0,99.485,0,0,0,0
05-08 14:48:30,0,0,1,407965696,907534336,3215360,437751808,0,0,0,122880,1173,1286,0,0,100,0,0,0,0
05-08 14:48:31,0,0,0,407932928,907567104,3215360,437751808,0,0,0,0,1090,1242,0.510,0.510,98.980,0,0,1427,15062
05-08 14:48:32,0,0,1,407900160,907599872,3215360,437751808,0,0,0,0,1118,1317,0.513,0,99.487,0,0,1481,15173
05-08 14:48:33,0,0,1,407900160,907599872,3215360,437751808,0,0,0,0,1145,1290,0,0,100,0,0,0,0
05-08 14:48:34,0,0,1,407900160,907599872,3215360,437751808,0,0,0,0,1080,1258,0.515,0,99.485,0,0,1373,15373
05-08 14:48:35,0,0,1,407867392,907632640,3215360,437751808,0,0,0,0,1139,1298,0,0,100,0,0,0,0
05-08 14:48:36,0,0,0,407867392,907632640,3215360,437751808,0,0,0,0,1258,1356,0.510,0,99.490,0,0,0,0
05-08 14:48:37,0,0,1,407867392,907632640,3215360,437751808,0,0,0,0,1196,1314,0,0.510,99.490,0,0,0,0
05-08 14:48:38,0,0,1,407867392,907632640,3215360,437751808,0,0,0,0,1112,1258,0,0,100,0,0,0,0
05-08 14:48:39,0,0,1,407867392,907632640,3215360,437751808,0,0,0,0,1160,1277,0.513,0,99.487,0,0,0,0
05-08 14:48:40,0,0,1,407867392,907632640,3215360,437751808,0,0,0,0,1209,1304,0,0,100,0,0,0,0
05-08 14:48:41,0,0,0,407867392,907632640,3215360,437751808,0,0,0,0,1099,1194,0,0.513,99.487,0,0,90,54
05-08 14:48:42,0,0,1,407867392,907632640,3215360,437751808,0,0,0,0,962,1117,0,0,100,0,0,0,0
05-08 14:48:43,0,0,1,407834624,907665408,3215360,437751808,0,0,0,0,1252,1305,2.051,0,97.949,0,0,1296,1120
05-08 14:48:44,0,0,1,407769088,907730944,3215360,437751808,0,0,0,0,1083,1262,0.515,0,99.485,0,0,2944,33384
05-08 14:48:45,0,0,1,407965696,907534336,3215360,437751808,0,0,0,0,1189,1318,0,0,100,0,0,576,324
05-08 14:48:46,0,0,0,139165696,1176334336,3215360,437751808,0,0,0,0,824,827,0,1.020,98.980,0,0,684,548
05-08 14:48:47,0,0,1,139042816,1176498176,3215360,437751808,0,0,0,0,178,157,0.995,0,99.005,0,0,3286,33656
05-08 14:48:49,0,0,1,139042816,1176498176,3215360,437751808,0,0,0,0,65,72,0,0.498,99.502,0,0,0,0
05-08 14:48:49,0,0,2,139042816,1176498176,3215360,437751808,0,0,0,1024,81,95,0,0,100,0,0,0,0
05-08 14:48:50,0,0,1,139034624,1176498176,3215360,437760000,0,0,0,0,91,86,0.500,0,99.500,0,0,0,0
05-08 14:48:51,0,0,0,139034624,1176498176,3215360,437760000,0,0,0,0,64,70,0,0,100,0,0,0,0
05-08 14:48:52,0,0,1,139034624,1176498176,3215360,437760000,0,0,0,0,54,75,0,0,100,0,0,0,0
05-08 14:48:53,0,0,1,139034624,1176498176,3215360,437760000,0,0,0,0,61,78,0.498,0,99.502,0,0,0,0
05-08 14:48:54,0,0,1,139034624,1176498176,3215360,437760000,0,0,0,0,55,77,0,0,100,0,0,0,0
05-08 14:48:55,0,0,1,138948608,1176584192,3215360,437760000,0,0,0,0,50,75,0,0,100,0,0,0,0
05-08 14:48:56,0,0,0,138907648,1176625152,3215360,437760000,0,0,0,0,67,80,0.500,0,99.500,0,0,0,0
05-08 14:48:57,0,0,1,138907648,1176625152,3215360,437760000,0,0,0,0,55,74,0,0,100,0,0,0,0
05-08 14:48:58,0,0,1,138907648,1176625152,3215360,437760000,0,0,0,0,56,72,0,0,100,0,0,0,0
05-08 14:48:59,0,0,1,138907648,1176625152,3215360,437760000,0,0,0,0,66,75,0,0,100,0,0,0,0
05-08 14:49:00,0,0,1,138932224,1176498176,3215360,437858304,0,0,0,0,201,116,2.538,1.015,96.447,0,0,0,0
05-08 14:49:01,0,0,0,138932224,1176498176,3215360,437858304,0,0,0,0,81,74,0.503,0,99.497,0,0,0,0
05-08 14:49:02,0,0,1,138932224,1176498176,3215360,437858304,0,0,0,0,66,76,0,0,100,0,0,0,0
05-08 14:49:03,0,0,1,138932224,1176498176,3215360,437858304,0,0,0,0,61,71,0,0,100,0,0,0,0
05-08 14:49:04,0,0,1,138932224,1176498176,3215360,437858304,0,0,0,0,49,72,0.498,0,99.502,0,0,0,0
05-08 14:49:06,0,0,1,138932224,1176498176,3215360,437858304,0,0,0,0,71,85,0,0,100,0,0,0,0
05-08 14:49:06,0,0,0,138932224,1176498176,3215360,437858304,0,0,0,0,67,75,0,0,100,0,0,0,0
05-08 14:49:07,0,0,1,138805248,1176625152,3215360,437858304,0,0,0,0,66,74,0,0.498,99.502,0,0,0,0
05-08 14:49:08,0,0,1,138805248,1176625152,3215360,437858304,0,0,0,0,56,73,0.498,0,99.502,0,0,0,0
05-08 14:49:09,0,0,1,138805248,1176625152,3215360,437858304,0,0,0,0,58,75,0,0,100,0,0,0,0
05-08 14:49:10,0,0,1,138731520,1176690688,3215360,437866496,0,0,0,0,158,126,1,0,99,0,0,3124,37810
05-08 14:49:11,0,0,0,138731520,1176690688,3215360,437866496,0,0,0,0,65,74,0,0,100,0,0,0,0
05-08 14:49:12,0,0,1,138731520,1176690688,3215360,437866496,0,0,0,0,57,76,0,0,100,0,0,0,0
05-08 14:49:13,0,0,1,138989568,1176432640,3215360,437866496,0,0,0,0,128,111,0.500,0.500,99,0,0,3070,38312
05-08 14:49:14,0,0,1,138989568,1176432640,3215360,437866496,0,0,0,0,60,72,0,0,100,0,0,0,0
05-08 14:49:15,0,0,1,138989568,1176432640,3215360,437866496,0,0,0,0,54,75,0,0,100,0,0,0,0
05-08 14:49:16,0,0,0,138924032,1176498176,3215360,437866496,0,0,0,0,154,122,1,0,99,0,0,3070,38776
05-08 14:49:17,0,0,1,138797056,1176625152,3215360,437866496,0,0,0,0,60,77,0,0,100,0,0,0,0
05-08 14:49:18,0,0,1,138797056,1176625152,3215360,437866496,0,0,0,0,51,74,0,0,100,0,0,0,0
05-08 14:49:19,0,0,1,138731520,1176690688,3215360,437866496,0,0,0,1024,143,124,0.500,0.500,99,0,0,2962,39224
05-08 14:49:20,0,0,1,138723328,1176690688,3215360,437874688,0,0,0,122880,92,91,0,0,100,0,0,0,0
05-08 14:49:21,0,0,0,138723328,1176690688,3215360,437874688,0,0,0,0,72,75,0,0,100,0,0,0,0
05-08 14:49:22,0,0,1,138854400,1176559616,3215360,437874688,0,0,0,0,138,112,1,0,99,0,0,3016,39974
05-08 14:49:23,0,0,1,138981376,1176432640,3215360,437874688,0,0,0,0,63,71,0,0,100,0,0,0,0
05-08 14:49:24,0,0,1,138981376,1176432640,3215360,437874688,0,0,0,0,50,72,0,0,100,0,0,0,0
05-08 14:49:25,0,0,1,138915840,1176498176,3215360,437874688,0,0,0,0,123,128,0,0.500,99.500,0,0,3178,40584
05-08 14:49:27,0,0,0,138915840,1176498176,3215360,437874688,0,0,0,0,81,79,0,0,100,0,0,0,0
05-08 14:49:27,0,0,1,138788864,1176625152,3215360,437874688,0,0,0,0,59,75,0.500,0,99.500,0,0,90,54
05-08 14:49:28,0,0,1,138723328,1176690688,3215360,437874688,0,0,0,0,128,117,0,0,100,0,0,3178,41174
05-08 14:49:29,0,0,1,138723328,1176690688,3215360,437874688,0,0,0,0,57,82,0,0,100,0,0,0,0
05-08 14:49:30,0,0,1,138690560,1176723456,3215360,437874688,0,0,0,0,93,83,0,0.503,99.497,0,0,160,108
05-08 14:49:31,0,0,3,139259904,1176154112,3215360,437874688,0,0,0,0,366,184,9.596,0.505,89.899,0,0,3808,42710
05-08 14:49:32,1,0,1,139259904,1176154112,3215360,437874688,0,0,0,0,1811,224,70.968,0,29.032,0,0,0,0
05-08 14:49:33,2,0,1,139259904,1176154112,3215360,437874688,0,0,0,0,1742,184,77.108,0,22.892,0,0,0,0
05-08 14:49:34,2,0,1,139227136,1176186880,3215360,437874688,0,0,0,0,1499,164,84.553,1.626,13.821,0,0,3178,42322
05-08 14:49:35,2,0,1,139194368,1176219648,3215360,437874688,0,0,0,0,1865,152,84.940,0.602,14.458,0,0,0,0
05-08 14:49:36,2,0,0,139194368,1176219648,3215360,437874688,0,0,0,0,2086,173,83.598,0.529,15.873,0,0,0,0
05-08 14:49:37,1,0,1,139227136,1176186880,3215360,437874688,0,0,0,0,2111,215,82.967,1.099,15.934,0,0,3124,42914
05-08 14:49:38,2,0,1,139292672,1176121344,3215360,437874688,0,0,0,0,1929,175,81.111,0.556,18.333,0,0,0,0
05-08 14:49:39,1,0,1,139419648,1175994368,3215360,437874688,0,0,0,0,2044,168,78.756,0.518,20.725,0,0,0,0
05-08 14:49:40,2,0,1,139345920,1176059904,3215360,437882880,0,0,0,0,2064,239,80,0.541,19.459,0,0,3124,43504
05-08 14:49:41,2,0,0,139345920,1176059904,3215360,437882880,0,0,0,0,1927,204,78.610,0.535,20.856,0,0,90,54
05-08 14:49:42,2,0,1,139345920,1176059904,3215360,437882880,0,0,0,0,1991,180,77.604,0.521,21.875,0,0,0,0
05-08 14:49:43,2,0,1,139313152,1176092672,3215360,437882880,0,0,0,0,2017,222,78.804,1.087,20.109,0,0,3286,44252
05-08 14:49:44,2,0,1,139280384,1176125440,3215360,437882880,0,0,0,0,2007,158,81.622,0,18.378,0,0,0,0
05-08 14:49:45,2,0,1,139280384,1176125440,3215360,437882880,0,0,0,0,1978,212,75.648,0.518,23.834,0,0,0,0
05-08 14:49:46,2,0,0,139411456,1175994368,3215360,437882880,0,0,0,0,1981,237,79.444,0.556,20,0,0,3232,44780
05-08 14:49:47,2,0,1,139411456,1175994368,3215360,437882880,0,0,0,0,1930,176,77.660,0.532,21.809,0,0,90,54
05-08 14:49:48,2,0,1,139411456,1175994368,3215360,437882880,0,0,0,0,2070,141,81.675,0,18.325,0,0,0,0
05-08 14:49:49,2,0,1,139378688,1176027136,3215360,437882880,0,0,0,1024,2003,228,79.096,0.565,20.339,0,0,3178,45466
05-08 14:49:50,0,0,1,139304960,1176092672,3215360,437891072,0,0,0,0,1953,188,81.818,0.568,17.614,0,0,0,0
